key	fr	es	it	ja	ko
Shift+Tab / View+Menu closes  -  LB RB tabs, B back	Shift+Tab / Vue+Menu ferme  -  LB RB onglets, B retour	Shift+Tab / Vista+Menú cierra  -  LB RB pestañas, B atrás	Shift+Tab / Visualizza+Menu chiude  -  LB RB schede, B indietro	Shift+Tab / ビュー+メニューで閉じる  -  LB RB タブ切替、B 戻る	Shift+Tab / 보기+메뉴로 닫기  -  LB RB 탭 전환, B 뒤로
Notifications	Notifications	Notificaciones	Notifiche	通知	알림
Off: nothing pops up over the game. Invitations and messages still\nwait here, with a count on their tab.	Désactivé : rien n'apparaît par-dessus le jeu. Les invitations et messages\nattendent ici, avec un compteur sur leur onglet.	Desactivado: nada aparece sobre el juego. Las invitaciones y mensajes\nsiguen esperando aquí, con un contador en su pestaña.	Disattivate: niente compare sopra il gioco. Inviti e messaggi\naspettano qui, con un contatore sulla loro scheda.	オフ：ゲーム上に何も表示されません。招待とメッセージは\nここで待機し、タブに件数が表示されます。	꺼짐: 게임 위에 아무것도 표시되지 않습니다. 초대와 메시지는\n여기서 대기하며 탭에 개수가 표시됩니다.
reading your session...	lecture de votre session...	leyendo tu sesión...	lettura della tua sessione...	セッションを確認中...	세션 확인 중...
in a session: friends can be invited	dans une session : les amis peuvent être invités	en una sesión: se puede invitar a amigos	in una sessione: gli amici possono essere invitati	セッション中：フレンドを招待できます	세션 참가 중: 친구를 초대할 수 있습니다
not in a joinable session yet	pas encore dans une session rejoignable	aún no estás en una sesión a la que unirse	non ancora in una sessione a cui entrare	まだ参加可能なセッションにいません	아직 참가 가능한 세션에 없습니다
Friend request sent to 	Demande d'ami envoyée à 	Solicitud de amistad enviada a 	Richiesta di amicizia inviata a 	フレンド申請を送りました: 	친구 요청을 보냈습니다: 
No friends yet. Type a gamertag above to add one.	Pas encore d'amis. Tapez un gamertag ci-dessus pour en ajouter un.	Aún no hay amigos. Escribe un gamertag arriba para añadir uno.	Nessun amico ancora. Scrivi un gamertag qui sopra per aggiungerne uno.	フレンドはまだいません。上にゲーマータグを入力して追加してください。	아직 친구가 없습니다. 위에 게이머태그를 입력해 추가하세요.
Invites (	Invitations (	Invitaciones (	Inviti (	招待 (	초대 (
Nothing waiting.	Rien en attente.	Nada pendiente.	Niente in attesa.	待機中のものはありません。	대기 중인 항목이 없습니다.
invited you to their game	vous invite dans sa partie	te invita a su partida	ti invita nella sua partita	からゲームに招待されました	님이 게임에 초대했습니다
Messages (	Messages (	Mensajes (	Messaggi (	メッセージ (	메시지 (
Pick someone. A message is up to 256 characters;	Choisissez quelqu'un. Un message fait jusqu'à 256 caractères ;	Elige a alguien. Un mensaje tiene hasta 256 caracteres;	Scegli qualcuno. Un messaggio arriva a 256 caratteri;	相手を選んでください。1通は最大256文字、	상대를 선택하세요. 메시지는 최대 256자이며,
the last 20 between you are kept.	les 20 derniers entre vous sont conservés.	se guardan los últimos 20 entre vosotros.	gli ultimi 20 tra voi vengono conservati.	直近20通が保存されます。	최근 20개가 보관됩니다.
No messages yet.	Pas encore de messages.	Aún no hay mensajes.	Nessun messaggio ancora.	まだメッセージはありません。	아직 메시지가 없습니다.
You	Vous	Tú	Tu	あなた	나
write a message, Enter sends	écrivez un message, Entrée envoie	escribe un mensaje, Intro envía	scrivi un messaggio, Invio spedisce	メッセージを入力、Enter で送信	메시지 입력, Enter로 전송
  -  not a friend any more; you can read, not write	  -  plus un ami ; vous pouvez lire, pas écrire	  -  ya no es tu amigo; puedes leer, no escribir	  -  non è più tuo amico; puoi leggere, non scrivere	  -  もうフレンドではありません。閲覧のみ可能です	  -  더 이상 친구가 아닙니다. 읽기만 가능합니다
No title.	Aucun jeu.	Ningún juego.	Nessun gioco.	タイトルがありません。	타이틀이 없습니다.
This server has not imported the title.	Ce serveur n'a pas importé ce jeu.	Este servidor no ha importado el juego.	Questo server non ha importato il gioco.	このサーバーにはこのタイトルが登録されていません。	이 서버에 이 타이틀이 등록되어 있지 않습니다.
%u of %zu unlocked	%u sur %zu débloqués	%u de %zu desbloqueados	%u su %zu sbloccati	%u / %zu 解除済み	%u개 달성 / 전체 %zu개
Keep playing to reveal it.	Continuez à jouer pour le révéler.	Sigue jugando para revelarlo.	Continua a giocare per rivelarlo.	プレイを続けると明らかになります。	계속 플레이하면 공개됩니다.
